id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1heqYfbBeei4R23Q48fbnr,0.697,0.625,2.0,-5.334,0.0,0.0581,0.255,4.41e-05,0.0881,0.746,96.974,4.0
01jsKKKv60XgvOdhzllMEo,0.783,0.829,6.0,-4.003,1.0,0.0652,0.171,1.03e-05,0.309,0.384,102.016,4.0
24H3TAF7iQ1jSzBawVJLlq,0.748,0.755,2.0,-5.775,1.0,0.0819,0.0476,5.73e-05,0.238,0.474,93.995,4.0
7GwzoBUKiWrgREm7lRCZQi,0.777,0.726,0.0,-5.024,1.0,0.0994,0.346,0.0,0.213,0.86,100.99,4.0
61iN6z94iv5ac6eHpiJb9i,0.788,0.719,1.0,-6.874,0.0,0.0346,0.119,0.0,0.0648,0.747,134.981,4.0
58TmVry5tDtNvIJPhF0mrT,0.709,0.915,2.0,-4.108,0.0,0.114,0.0528,0.317,0.118,0.66,94.044,4.0
05ybyS3gFCUaVJuyxe25HR,0.759,0.587,4.0,-5.5,0.0,0.0636,0.153,0.0,0.0651,0.407,137.044,4.0
2Kg6y2IP6229xbZIajKkOD,0.685,0.554,7.0,-5.905,1.0,0.0371,0.428,0.0,0.137,0.334,117.967,4.0
3OQH4KcnvUmo33dYVNLJTD,0.799,0.688,0.0,-10.303,1.0,0.144,0.656,3.52e-05,0.132,0.756,99.805,4.0
2MAGmUmhXlyFVAXqueOIJI,0.659,0.827,7.0,-5.877,1.0,0.0677,0.133,2.06e-06,0.157,0.356,90.007,4.0
3olChA9DbV74mx01289jVa,0.873,0.707,11.0,-6.053,0.0,0.166,0.585,0.00131,0.113,0.441,90.049,4.0
6j0BP1KuSTkDLtU389hvAk,0.72,0.653,0.0,-4.676,1.0,0.212,0.122,0.0,0.183,0.771,93.804,4.0
4JH9BjvhpeAUGDWExUlyBD,0.826,0.774,8.0,-4.917,0.0,0.0597,0.0193,0.0,0.0789,0.615,127.978,4.0
1quzBJO2Dt1DsPW4IPYyyA,0.731,0.847,0.0,-2.97,1.0,0.0608,0.222,0.0,0.0771,0.546,113.113,4.0
35TbrKSx89UgpLFx2VOnCx,0.836,0.686,7.0,-5.203,1.0,0.09,0.258,0.00119,0.0836,0.496,100.988,4.0
6tZVxc0HJbEr8Y11Zlx40z,0.457,0.607,4.0,-9.561,0.0,0.324,0.88,0.0999,0.138,0.198,158.696,5.0
0Og9ew5dPFxBnyDtVcmoZs,0.825,0.746,7.0,-4.32,0.0,0.269,0.471,0.00241,0.0852,0.632,103.754,4.0
3wQOMMhI58YdOCHafPkyPH,0.612,0.684,9.0,-5.237,0.0,0.0449,0.36,9.97e-06,0.34,0.154,94.86,4.0
5mP3l4lqrJ4smwxQq5auE9,0.612,0.742,0.0,-6.33,0.0,0.0807,0.0278,2.84e-06,0.349,0.638,147.806,4.0
0lx2cLdOt3piJbcaXIV74f,0.392,0.574,7.0,-9.195,1.0,0.17,0.833,0.00179,0.145,0.529,81.112,4.0
1dGr1c8CrMLDpV6mPbImSI,0.359,0.543,7.0,-7.582,1.0,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4.0
22eqegdVyWgAQAwLkm7L9b,0.641,0.551,9.0,-6.165,1.0,0.0532,0.147,0.0,0.12,0.417,102.912,4.0
0E4Y1XIbs8GrAT1YqVy6dq,0.641,0.324,11.0,-5.851,1.0,0.0299,0.698,0.0,0.328,0.273,110.184,4.0
0fioLzGM8ngbD1w6fMmm45,0.453,0.496,5.0,-5.785,1.0,0.0453,0.554,2.65e-05,0.0772,0.501,80.994,4.0
2wrJq5XKLnmhRXHIAf9xBa,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,4.0
